Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_56_005.jpg;-3.578665;0.2576349;0;2.780633;112.4109;96.83827;359.8166;36.08898;359.1287
D:\IMG\robocam_2018_09_19_18_49_56_085.jpg;0;0.5095522;0;2.777737;112.5952;96.97255;0.1200864;35.94619;359.4952
D:\IMG\robocam_2018_09_19_18_49_56_155.jpg;0;0.7504663;0;2.794207;112.7819;97.1078;0.4239237;35.9363;359.8351
D:\IMG\robocam_2018_09_19_18_49_56_249.jpg;0;0.957854;0;2.830284;112.9724;97.24464;0.7487677;35.92475;0.09717479
D:\IMG\robocam_2018_09_19_18_49_56_324.jpg;0;1;0;2.88068;113.1665;97.38295;1.044531;35.88843;0.240032
D:\IMG\robocam_2018_09_19_18_49_56_408.jpg;0;0.7729532;0;2.934779;113.3623;97.52031;1.180295;35.84312;0.1910568
D:\IMG\robocam_2018_09_19_18_49_56_483.jpg;-3.816394;0.518527;0;2.973233;113.5598;97.65582;1.164708;35.35803;0.001366053
D:\IMG\robocam_2018_09_19_18_49_56_568.jpg;-7.188185;0.2937409;0;3.003173;113.7588;97.78831;1.079894;34.21318;359.85
D:\IMG\robocam_2018_09_19_18_49_56_649.jpg;-10.9903;0.04026642;0;3.008414;113.9604;97.91184;0.8793165;32.35022;359.5787
D:\IMG\robocam_2018_09_19_18_49_56_730.jpg;-14.61553;0;0;2.994672;114.1629;98.02309;0.4647146;29.78186;359.2288
D:\IMG\robocam_2018_09_19_18_49_56_814.jpg;-10.98513;0;0;2.97392;114.4172;98.15059;359.8236;27.06745;358.7843
D:\IMG\robocam_2018_09_19_18_49_56_895.jpg;-7.16685;0.2545523;0;2.956146;114.6257;98.25322;359.6351;25.60529;358.7583
D:\IMG\robocam_2018_09_19_18_49_56_977.jpg;-3.533144;0.4967993;0;2.951465;114.8413;98.35685;359.8026;24.85788;359.0498
D:\IMG\robocam_2018_09_19_18_49_57_058.jpg;0;0.7420279;0;2.960572;115.0633;98.45961;0.1479999;24.64483;359.3622
D:\IMG\robocam_2018_09_19_18_49_57_142.jpg;0;0.9847041;0;2.998083;115.2893;98.56355;0.5134997;24.62935;359.6765
D:\IMG\robocam_2018_09_19_18_49_57_221.jpg;0;1;0;3.048851;115.5198;98.6694;0.9230283;24.6434;359.9714
D:\IMG\robocam_2018_09_19_18_49_57_300.jpg;0;1;0;3.101521;115.7545;98.7748;1.291311;24.60365;0.1040402
D:\IMG\robocam_2018_09_19_18_49_57_389.jpg;0;1;0;3.155027;115.9899;98.87782;1.40563;24.54443;-0.0003129489
D:\IMG\robocam_2018_09_19_18_49_57_476.jpg;0;0.7335091;0;3.203823;116.2841;99.01217;1.331565;24.6632;-0.002544132
D:\IMG\robocam_2018_09_19_18_49_57_550.jpg;0;0.4736385;0;3.263293;116.462;99.09355;1.282416;24.66808;-0.001920298
D:\IMG\robocam_2018_09_19_18_49_57_647.jpg;0;0.2484568;0;3.277828;116.7584;99.22894;1.142921;24.65625;-0.00137138
D:\IMG\robocam_2018_09_19_18_49_57_726.jpg;0;0;0;3.28227;116.994;99.33643;0.9637347;24.64226;-0.001006315
D:\IMG\robocam_2018_09_19_18_49_57_813.jpg;0;0;0;3.269689;117.2277;99.443;0.7297457;24.62831;-0.0005392818
D:\IMG\robocam_2018_09_19_18_49_57_896.jpg;0;0;0;3.255719;117.5177;99.57521;0.397755;24.61221;1.650224E-05
